,datetime,tweet_Id,Username,text,likes
24,2022-09-03 23:06:02+00:00,1566200877521698817,Desh_Mera_Desh,"Hats off to @daniel86cricket that even after this insult to #SriLanka he will continue to lick the boots of the #Pakistan team 😂😂

Setting new bars of Shamelessness everyday 😭

@_UnrealDaniel #Danielalexander #IndiavsPakistan #INDvsPAK #AsiaCupT20 #AsiaCup2022 #SLvAFG #Cricket https://t.co/ayVmgXn115",0
25,2022-09-03 23:00:53+00:00,1566199583025143808,global_gud,"My #TeamIndia for #INDvsPAK today:

Pant
Rohit
Virat
Surya
Hooda / DK
Hardik
Axar
Bhuvi
Arshdeep
Chahal
Ashwin / Chahar (if fit)

What is yours, please do share!!!

@bcci @TheRealPCB @ImRo45 @imVkohli @RishabhPant17 @surya_14kumar",0
26,2022-09-03 23:00:21+00:00,1566199446383525890,iiirdi,Enjoy your Sunday Friends #GoodMorningEveryone #INDvsPAK https://t.co/FOpZf61fZb,0
27,2022-09-03 22:58:41+00:00,1566199025942286337,cricket_177,"@ashaa_45 It maybe impossible
So today u can watch ind vs pak 2019 wc highlights
Where both played well",0
28,2022-09-03 22:55:50+00:00,1566198309991194624,BasitSubhani,"Suryakumar Yadav or Babar Azam?

How SKY can become number 1 T20 batsman and what does Rizwan need to change?

My analysis on #indvsPak #Asiacup2022

https://t.co/KyKblPhJHM",1
29,2022-09-03 22:54:19+00:00,1566197929526046720,AkashSh38995547,"Best 11 for today's match Between (#INDvsPAK) 

For India (only): 

Rohit Sharma (C) 
Virat Kohli
Surya Kumar Yadav
Deepak Hooda 
Hardik Pandya
Dinesh Kartik (W) 
Axar Patel
Deepak Chahar
Bhuvaneshwar Kumar 
Arshdeep Singh 
Ravi Bishnoi

@ImRo45 @RaviShastriOfc 
Please!!",2
30,2022-09-03 22:52:52+00:00,1566197562318757889,mharoonAdsExp,"Watch Now Asia Cup 2022 Live Stream, Asia Cup Streams Full HD

Pakistan vs India

WATCH HERE:: *https://t.co/edxfI9SNmF*
Unbeaten India slight favourites in Round 2 against Pakistan #AsiaCup2022 
#rizwan #PAKvIND #INDvsPAK #PAKvsIND #AsiaCup #ViratKohli #RohitSharma #BabarAzam https://t.co/DmdcqRy7dI",0
31,2022-09-03 22:52:11+00:00,1566197392503984131,RvelZahid,"𝗸𝗲𝗲𝗽 𝗶𝘁 𝘀𝗶𝗺𝗽𝗹𝗲 ""The more normal you can feel in such a match, the better it is. I don't follow the hype around that game much, but out in the middle, the ball has to play the bat."" 𝐌𝐨𝐡𝐚𝐦𝐦𝐚𝐝 𝐑𝐢𝐳𝐰𝐚𝐧 #AsiaCup2022 #INDvsPAK",0
32,2022-09-03 22:51:53+00:00,1566197315613908995,AbdulJa27364729,"@iihtishamm Hasnain is a good option for tmaroooow clash
#INDvsPAK",0
33,2022-09-03 22:51:23+00:00,1566197189906497537,MarkGar66730877,"India has overtaken the UK to become the World’s 5th biggest economy.  #economy .  #INDvsPAK   #energy 

https://t.co/XlVVKTjO8k",2
34,2022-09-03 22:50:52+00:00,1566197060793163777,Arfius_Official,"IND Vs PAK: Before The Match Against India, Pakistan Suffered A Major Setback, Shahnawaz Out Due To Right Injury https://t.co/8UNMzJloCt",0
35,2022-09-03 22:49:07+00:00,1566196618747334657,MuditHastir,"Super Sunday Yet Again ..
#INDvsPAK 
No excuses for our Top Order today ..

#CricketTwitter",0
36,2022-09-03 22:48:23+00:00,1566196434029928449,zesh90x,"@tradeytraderson Out of curiosity where did you go wrong in this game? 

Felt very one sided throughout with no real ""surprises"" no? 

Impressive work on all the other games today, huge game tomorrow ind vs pak, should be good fun to trade ;).",0
37,2022-09-03 22:47:54+00:00,1566196315931176960,iamyrshah,"#INDvsPAK 

Lets show them again..

@imVkohli @ImRo45 @RishabhPant17 @hardikpandya7 @BhuviOfficial https://t.co/GVqbcKkxfH",1
38,2022-09-03 22:46:39+00:00,1566195997629468674,meltosports,"Who should play tomorrow?

 #PAKvIND #INDvsPAK #AsiaCupT20",0
39,2022-09-03 22:45:50+00:00,1566195795816243201,AsiaPost3,IND Vs PAK T20 Live Streaming Asia Cup Super 4 Match India Vs Pakistan Live Telecast TV Channel IST Time https://t.co/kBo7JJvprj,0
40,2022-09-03 22:45:48+00:00,1566195786316144642,shubhamkr11,"#INDvsPAK don’t forget t20 World Cup २०२२. If you loose again, no idea how many of us are gonna die",1
41,2022-09-03 22:45:09+00:00,1566195620926238720,shubhambagde00,Kala Jaadu: Pakistan cricket fans troll Hasan Ali as Shahnawaz Dahani gets injured ahead of IND vs PAK clash | Cricket News https://t.co/OpVdba0nwE,0
42,2022-09-03 22:42:41+00:00,1566195003327938560,AmarUjalaNews,"IND vs PAK: पाक के पेस अटैक के सामने भारतीय टॉप ऑर्डर की होगी परीक्षा, रोहित-राहुल के सामने नसीम शाह की चुनौती

#INDvsPAK #India #Pakistan #Super4 #IndiaVsPakistan #T20 #Dubai #AsiaCup #AsiaCup2022 #Stats #Records #HeadToHead

https://t.co/xWFMRZmDjW",9
43,2022-09-03 22:42:13+00:00,1566194885283450880,RajaSamson9,After MSD Rohit Sharma as Most wins against Pakistan as captain 🇮🇳💙🔥....India vs Pakistan on Super Sunday today 💥 #MSDhoni #RohitSharma #INDvsPAK  #INDvsPAK2022 #AsiaCupT20  #AsiaCup #TeamIndia https://t.co/skbeuZTTF7,9
44,2022-09-03 22:41:32+00:00,1566194714042200065,shivamsupremacy,IndvsPak match isn't matching the way it used to match,0
45,2022-09-03 22:34:50+00:00,1566193025423908865,nomannasir83,"انضمام الحق نے بھارت کے خلاف انحرڈ شاہنواز دہانی کی جگہ محمد حسنین کو اسکواڈ میں شامل کرنے کا مشورہ دے دیا 
#AsiaCupT20  #PakVsInd #INDvsPAK https://t.co/PSEx4w8q1P",2
46,2022-09-03 22:32:04+00:00,1566192331526918144,dinathanthi,"ஒரு வார்த்தையை கூற விரும்புகிறேன்... ஆனால் இங்கு கூற முடியாது - ராகுல் டிராவிட் கலகல பேச்சு
#INDvsPAK #RahulDravid @dinathanthi 
https://t.co/355PIhIaMW",3
