,datetime,tweet_Id,Username,text,likes
27,2022-09-05 15:50:16+00:00,1566815990276833286,PrajaNeralu,"ಭಾರತ ಇಂದು ವಿಶ್ವಗುರುವಾಗಿ ನಿಲ್ಲುವುದಕ್ಕೆ ಶಿಕ್ಷಕರೇ ಕಾರಣ : ಲಕ್ಷ್ಮೀ ಹೆಬ್ಬಾಳಕರ್
https://t.co/MbWG2tQ10L
#belgaum #belagavi #lakshmihebbalkar #TeachersDay2022 #TeacherDay https://t.co/dz7hVHopyH",0
28,2022-09-05 15:45:31+00:00,1566814791833878528,ADARSHASK13,"@ShivprasadKara2 @Belagavi_infra @CMofKarnataka @BSBommai @MangalSAngadi @Irannakadadi_MP @iamabhaypatil @belagavi_news @BelagaviRailway @BelagaviKA @BelagaviM Why man, what happens? 
Pls 🙏don't say like this.",0
29,2022-09-05 15:44:23+00:00,1566814509045411840,cool__sams,"Our 5th Vlog 
Gokak to Sankeshwar
Nilgar Ganapati
https://t.co/ddw0dSRwgN

@BelagaviKA @allaboutbelgaum @rajurajput1000 @beingbelgaumite 
@BelagaviDSMA @gokaktrolls #belagavi #gokak #sankeshwar https://t.co/RVibFBA68m",1
30,2022-09-05 15:38:27+00:00,1566813014799818753,Nickpol17,@DrmMys @drmsbc @SWRRLY Yy not any spl train from belagavi any other side,2
31,2022-09-05 15:35:55+00:00,1566812379232342016,Belagavi3,@Sethuppathi @VanathiBJP @SadhguruJV Hahaha exactly... If IT raids those places tbh No need for us to pay taxes for the Next 100 yrs.,0
32,2022-09-05 15:35:45+00:00,1566812334307577856,TNavi,"Ganesha Chaturthi at Belagavi Institute of Medical Sciences

#GaneshaChaturthi  #GanapatiBappaMorya 
#ganapati 
#GaneshChaturthi2022 https://t.co/bm0b531nso",7
33,2022-09-05 15:33:47+00:00,1566811839295471616,Belagavi3,@sulakshna7783 Fyki dis is Corrupt Dravida Model...,0
34,2022-09-05 15:29:37+00:00,1566810790371373060,Belagavi3,@GMSRailway Dis VCare is a pakka Fraud..,0
35,2022-09-05 15:27:39+00:00,1566810297054031875,Belagavi3,@Ethirajans U mean that Kovai360 prank show???,0
36,2022-09-05 15:25:30+00:00,1566809756605595655,bethelightgb,Seer in Belagavi found dead days after being named in purported audio https://t.co/90sB1XN3XC,0
